x,y
0.2059199402757547,-0.7267851462245289
-0.30280248484705863,-0.4279324790204566
0.6864586768573002,-0.3304079858517816
0.39855086758982633,1.6081593980575886
1.0102892356141235,-0.35137188549410725
-0.2771503143909205,0.3642557276457974
-1.3349301656109058,-0.6896683960078502
0.3943286784989932,-0.09945071691638882
1.5481090299202738,-0.4947541239875108
4.162528811027954,4.2883059290718375
5.011232429757703,4.871336251067373
6.784287719065551,4.680707425179581
5.0435556506916575,5.707345452156096
4.913615550925653,5.444485587401456
5.315925308760142,5.669764018117839
3.8736974636827384,5.646279530907922
4.889373084287192,5.149742868267197
4.690673491589282,6.3272389838335945
-6.637655304874018,6.119453589044939
-5.543205696961754,6.2231881076767674
-4.023027229397226,5.811990813426159
-4.337496014120239,6.813034166568153
-5.475964536106743,4.534984369977267
-5.524715316947093,5.740119082685498
-6.039329075400683,5.80893349376861
-5.230752146213339,4.145829547715755
-5.862080718045091,4.36258098958447
3.8111659345116906,-4.588696987461155
5.681432691554456,-4.233061250181256
4.498812760698413,-4.753655189699572
5.0041645479484425,-4.446774473885981
5.355889727261849,-4.9277763740071645
3.5133256805279114,-5.133264035135065
5.088701184109964,-5.555818115208795
4.784659547248816,-6.039380120008625
4.743115642317928,-4.595305006271628
10.445297856019822,-5.063546274001389
-0.11987035134825383,-4.807345250192702
-0.46283094483296144,-1.1186604056659712
4.16446081049666,4.870597891952032
